0	2951,26
1	2808,13
2	2655,76
3	2473,74
4	2379,26
5	2283,96
6	2291,38
7	2213,51
8	2134,77
9	2090,78
10	2041,06
11	1998,07
12	1974,48
13	1930,78
14	1912,62
15	1845,62
16	1806,59
17	1783,95
18	1761,95
19	1742,72
20	1713,91
21	1717,48
22	1705,65
23	1668,42
24	1696,64
25	1668,42
26	1658,97
27	1641,31
28	1626,52
29	1619,38
30	1605,27
31	1595,00
32	1591,49
33	1585,88
34	1580,09
35	1577,87
36	1573,17
37	1568,99
38	1565,18
39	1561,74
40	1554,22
41	1559,50
42	1551,01
43	1550,33
44	1541,98
45	1534,60
46	1539,75
47	1526,83
48	1526,83
49	1524,60
50	1512,15
